,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
0,"APPLE iPhone 11 (Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",6% off
1,"APPLE iPhone 11 (White, 64 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.61,66,952 Ratings & 9,935 Reviews",6% off
2,"APPLE iPhone 13 (Pink, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
3,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.397,135 Ratings & 9,439 Reviews",23% off
4,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.397,135 Ratings & 9,439 Reviews",23% off
5,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.361,613 Ratings & 5,745 Reviews",20% off
6,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.361,613 Ratings & 5,745 Reviews",20% off
7,"POCO C31 (Royal Blue, 64 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.31,60,351 Ratings & 10,133 Reviews",16% off
8,"OPPO K10 (Blue Flame, 128 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.476,622 Ratings & 5,620 Reviews",26% off
9,"OPPO K10 (Black Carbon, 128 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.476,622 Ratings & 5,620 Reviews",26% off
